Date,Description,Amount
May 9 2026,ALCATRAZ CRUISES SAN FRANCISCOCA,($141.05)
May 6 2026,ALCATRAZ CRUISES SAN FRANCISCOCA,$141.05 
May 6 2026,ALDI 72053 EAU CLAIRE WI,$65.59 
May 6 2026,SP YOSEMITE CONSERVAN SAN FRANCISCOCA,$17.32 
May 4 2026,ALCATRAZ CRUISES SAN FRANCISCOCA,$141.05 
May 4 2026,ALCATRAZ.CLICK AUSTIN TX,$23.85 
May 2 2026,PRAIRIE MARKET ST2293 SAINT PAUL MN,$15.94 
May 1 2026,MMC-MFLD CAFE 888-258-9775 WI,$2.50 
May 1 2026,PANERA BREAD #606376 O EAU CLAIRE WI,$16.10 
May 1 2026,CENEX-ALLIED COOPERATI GRANTON WI,$52.22 
Apr 30 2026,MCDONALD'S F3903 EAU CLAIRE WI,$20.00 
Apr 30 2026,KWIK TRIP #472 EAU CLAIRE WI,$16.98 
Apr 29 2026,FESTIVAL FOODS EAU CLAIRE WI,$68.86 
Apr 29 2026,RANDYS FAMILY RESTAURA EAU CLAIRE WI,$19.87 
Apr 29 2026,KWIK TRIP #398 EAU CLAIRE WI,$59.34 
Apr 27 2026,SPECTRUM MOBILE SAINT LOUIS MO,$20.27 
Apr 27 2026,PANERA BREAD #606376 P EAU CLAIRE WI,$13.58 
Apr 27 2026,ALDI 72053 EAU CLAIRE WI,$44.99 
Apr 26 2026,HY-VEE EAU CLAIRE 1166 EAU CLAIRE WI,$6.49 
Apr 25 2026,TEXAS ROADHOUSE #2271 EAU CLAIRE WI,$126.38 
Apr 25 2026,KWIK TRIP #201 EAU CLAIRE WI,$41.34 
Apr 23 2026,ALDI 72053 EAU CLAIRE WI,$98.57 
Apr 23 2026,CHEWY.COM 7863207111 FL,$76.34 
Apr 23 2026,PAYMENT,"($1,500.00)"
Apr 22 2026,SPECTRUM SAINT LOUIS MO,$55.00 
Apr 22 2026,KWIK TRIP #472 EAU CLAIRE WI,$17.55 
Apr 19 2026,ALDI 72053 EAU CLAIRE WI,$109.32 
Apr 19 2026,ALDI 72053 EAU CLAIRE WI,$4.98 
Apr 19 2026,FESTIVAL FOODS EAU CLAIRE WI,$47.30 
Apr 19 2026,MCDONALD'S F162 EAU CLAIRE WI,$20.00 
Apr 19 2026,KWIK TRIP #1162 EAU CLAIRE WI,$37.38 
Apr 18 2026,SQ *OAKWOOD MALL EAU CLAIRE WI,$21.81 
Apr 18 2026,KOBE'S JAPANESE RESTAU EAU CLAIRE WI,$40.95 
Apr 18 2026,DAIRY QUEEN #11011 EAU CLAIRE WI,$9.37 
Apr 18 2026,CTLP*VENUPLUS INC ORLANDO FL,$3.00 
Apr 18 2026,KWIK TRIP #633 EAU CLAIRE WI,$57.74 
Apr 17 2026,FESTIVAL FOODS EAU CLAIRE WI,$36.26 
Apr 17 2026,NAYAX **MADISON CONCOU MADISON WI,$1.50 
Apr 17 2026,NAYAX **MADISON CONCOU MADISON WI,$1.25 
Apr 16 2026,SPEEDWAY 46569 OSSEO WI,$62.44 
Apr 16 2026,CTLP*WP BEVERAGES WINDSOR WI,$3.25 
Apr 16 2026,WALMART.COM 800-966-6546 BENTONVILLE AR Walmart.Com Purchase,$68.57 
Apr 14 2026,EAU CLAIRE AREA SCH -G EAU CLAIRE WI,($42.00)
Apr 12 2026,ALTOONA FAMILY RESTAUR ALTOONA WI,$57.19 
Apr 12 2026,WAHLBURGERS BLOOMINGTO BLOOMINGTON MN,$72.57 
Apr 12 2026,DISNEY PLUS 8889057888 CA,$13.70 
Apr 12 2026,"SAM'S CLUB 008185 EAU CLAIRE WI ROTISSERIE CHICKEN, STRAWBERRIES, 2LB, CAESAR SALAD KIT, GALA APPLE , ACTIVIA YOGURT, SOUTHWEST SALAD KIT , WHOLE MILK",$30.09 
Apr 12 2026,"SAM'S CLUB 008185 EAU CLAIRE WI HONEY BUNCHES OATS, MAC N CHEESE",$16.33 
Apr 11 2026,FLYOVER AMERICA BLOOMINGTON MN,$80.26 
Apr 11 2026,PRYES BREWING COMPANY MINNEAPOLIS MN,$22.00 
Apr 11 2026,DAIRY QUEEN #12859 HUDSON WI,$16.84 
Apr 11 2026,HYATT REGENCY MINNEAPO MINNEAPOLIS MN,$41.77 
Apr 10 2026,HYATT REG MNNEAPOLIS F MINNEAPOLIS MN,$29.49 
Apr 8 2026,KWIK TRIP #633 EAU CLAIRE WI,$64.91 
Apr 7 2026,TARGET 00017749 EAU CLAIRE WI,$107.56 
Apr 7 2026,FESTIVAL FOODS EAU CLAIRE WI,$42.33 
Apr 6 2026,"SAMS CLUB.COM 006279 BENTONVILLE AR RASPBERRIES, STRAWBERRIES 2LB , RED SEEDLESS GRAPES, PINEAPPLE , GREEN GRAPES, CASH/CREDIT RECEIVED, SAM'S/WAL-MART PURCHASE(S)",$27.67 
Apr 6 2026,"SAMS CLUB.COM 006279 BENTONVILLE AR CHOCOLATE CHUNK, SAM'S/WAL-MART PURCHASE(S)",$6.48 
Apr 4 2026,ALDI 72053 EAU CLAIRE WI,$15.86 
Apr 3 2026,KWIK TRIP #1162 EAU CLAIRE WI,$33.13 
Apr 2 2026,PANERA BREAD #606173 O EAU CLAIRE WI,$31.47 
Apr 2 2026,DAIRY QUEEN #43616 EAU CLAIRE WI,$9.46 
Apr 1 2026,KWIK TRIP #633 EAU CLAIRE WI,$18.54 
Mar 31 2026,SQ *PRINCETON VALLEY G EAU CLAIRE WI,$13.02 
Mar 31 2026,SQ *PRINCETON VALLEY G EAU CLAIRE WI,$14.58 
Mar 31 2026,ALDI 72053 EAU CLAIRE WI,$66.66 
Mar 29 2026,ALDI 72053 EAU CLAIRE WI,$67.37 
Mar 29 2026,KWIK TRIP #398 EAU CLAIRE WI,$34.60 
Mar 29 2026,PAYMENT,"($1,000.00)"
Mar 28 2026,TST*RIVER WALK PUB WISCONSIN DELWI,$62.90 
Mar 28 2026,KWIK TRIP #838 REEDSBURG WI,$67.10 
Mar 28 2026,LATE FEE,$29.00 
Mar 27 2026,MICON CINEMAS EAU CLAI EAU CLAIRE WI,$23.75 
Mar 27 2026,MICON CINEMAS EAU CLAI EAU CLAIRE WI,$7.00 
Mar 27 2026,SPECTRUM MOBILE SAINT LOUIS MO,$20.27 
Mar 27 2026,CULVERS OF LAKE DELTON BARABOO WI,$28.37 
Mar 27 2026,WALMART.COM 800-966-6546 BENTONVILLE AR Walmart.Com Purchase,$82.24 
Mar 25 2026,EAU CLAIRE AREA SCH -G EAU CLAIRE WI,$42.00 
Mar 25 2026,CHEWY.COM 7863207111 FL,$28.33 
Mar 24 2026,WALGREENS #1937 EAU CLAIRE WI,$1.15 
Mar 22 2026,SPECTRUM 855-707-7328 MO,$55.00 
Mar 22 2026,CALE AMERICA INC CLEARWATER FL,$1.50 
Mar 22 2026,KWIK TRIP #459 EAU CLAIRE WI,$41.69 
Mar 21 2026,PANERA BREAD #606376 O EAU CLAIRE WI,$24.03 
Mar 21 2026,CULVERS OF RIVER FALLS RIVER FALLS WI,$39.51 
Mar 20 2026,SQ *LUCETTE BREWING CO MENOMONIE WI,$96.00 
Mar 20 2026,ALDI 72053 EAU CLAIRE WI,$103.03 
Mar 19 2026,COWBOY JACKS - ALTOONA ALTOONA WI,$47.38 
Mar 19 2026,CULVERS EAU CLAIRE-BRA EAU CLAIRE WI,$13.79 
Mar 19 2026,KWIK TRIP #208 ALTOONA WI,$59.18 
Mar 15 2026,ALTOONA FAMILY RESTAUR ALTOONA WI,$49.01 
Mar 14 2026,PANERA BREAD #606173 P EAU CLAIRE WI,$29.17 
Mar 14 2026,"SAM'S CLUB 008185 EAU CLAIRE WI GREEN GRAPES, MMORG MPL SYRP 32OZ , MM NONFAT PLAIN GRK, 5 SEED, MULTIGRAIN, 109120_TPR KINDER_S , HONEY HAM, MM ORGANIC TWIST",$63.10 
Mar 12 2026,PANERA BREAD #606376 O EAU CLAIRE WI,$36.03 
Mar 12 2026,DISNEY PLUS 8889057888 CA,$13.70 
Mar 12 2026,CULVERS EAU CLAIRE-GOL EAU CLAIRE WI,$7.47 
Mar 12 2026,KWIK TRIP #633 EAU CLAIRE WI,$37.70 
Mar 11 2026,HY-VEE EAU CLAIRE 1166 EAU CLAIRE WI,$53.83 
Mar 11 2026,KWIK TRIP #1162 EAU CLAIRE WI,$51.61 
Mar 10 2026,WALGREENS #1937 EAU CLAIRE WI,$18.24 
Mar 10 2026,CULVERS OF EAU CLAIRE EAU CLAIRE WI,$4.53 
Mar 10 2026,KWIK TRIP #472 EAU CLAIRE WI,$15.81 
Mar 8 2026,"SAM'S CLUB 008185 EAU CLAIRE WI ROTISSERIE CHICKEN, MM NONFAT, PLAIN GRK, ANNIES WHT CHDR MAC , HINT 18 PK VARIETY, BOYS MOLDED, SLIP-ON, BOYS MOLDED SLIP-ON , CASH/CREDIT RECEIVED",$36.25 
Mar 8 2026,TST*TOMMY SALAMI WISCONSIN DELWI,$58.24 
Mar 8 2026,ALDI 72053 EAU CLAIRE WI,$125.00 
Mar 8 2026,EAU CLAIRE AREA SCHOOL EAU CLAIRE WI,$50.00 
Mar 7 2026,KWIK TRIP #633 EAU CLAIRE WI,$45.85 
Mar 7 2026,WALMART.COM 800-966-6546 BENTONVILLE AR Walmart.Com Purchase,$21.92 
Mar 6 2026,WALMART.COM 800-966-6546 BENTONVILLE AR Walmart.Com Purchase,$47.17 
Mar 2 2026,SQ *4 TREASURES ADVENT EAU CLAIRE WI,$5.81 
Mar 2 2026,SQ *4 TREASURES ADVENT EAU CLAIRE WI,$10.55 
Mar 2 2026,KWIK TRIP #633 EAU CLAIRE WI,$31.08 
Mar 2 2026,PAYMENT,"($2,222.02)"
Mar 1 2026,DUNKIN #356501 EAU CLAIRE WI,$15.46 
Mar 1 2026,"SAM'S CLUB 008185 EAU CLAIRE WI STRAWBERRIES 2LB, EGGO WAFFLES , MED CHEDDAR CHEESE, RASPBERRIES , NESTLE DRUMSTICK, WHOLE CARROT, 2%, COTTAGE CHEESE",$101.25 
Feb 28 2026,FESTIVAL FOODS EAU CLAIRE WI,$73.67 
Feb 28 2026,KWIK TRIP #633 EAU CLAIRE WI,$24.30 
Feb 28 2026,CULVERS EAU CLAIRE-BRA EAU CLAIRE WI,$11.47 
Feb 27 2026,SPECTRUM MOBILE 855-707-7328 MO,$20.27 
Feb 23 2026,FESTIVAL FOODS EAU CLAIRE WI,$74.51 
Feb 22 2026,TARGET 00017749 EAU CLAIRE WI,$126.94 
Feb 22 2026,SPECTRUM 855-707-7328 MO,$55.00 
Feb 22 2026,TARGET.COM BROOKLYN PARKMN,$7.17 
Feb 21 2026,PANERA BREAD #606376 O EAU CLAIRE WI,$45.29 
Feb 20 2026,SUBWAY 43003 EAU CLAIRE WI,$12.85 
Feb 19 2026,WALGREENS #1937 EAU CLAIRE WI,$45.17 
Feb 19 2026,TARGET.COM BROOKLYN PARKMN,$47.83 
Feb 19 2026,KWIK TRIP #633 EAU CLAIRE WI,$31.53 
Feb 19 2026,KWIK TRIP #633 EAU CLAIRE WI,$8.08 
Feb 18 2026,DAIRY QUEEN #43616 EAU CLAIRE WI,$12.42 
Feb 15 2026,EAU CLAIRE AREA SCHOOL EAU CLAIRE WI,$35.00 
Feb 15 2026,WALMART.COM 800-966-6546 BENTONVILLE AR Walmart.Com Purchase,$73.32 
Feb 15 2026,PAYMENT,"($1,430.00)"
Feb 14 2026,WEAVER'S COUNTRY STORE FALL CREEK WI,$51.63 
Feb 14 2026,TOPPERS PIZZA CLAIRMO EAU CLAIRE WI,$15.81 
Feb 14 2026,TOPPERS PIZZA CLAIRMO EAU CLAIRE WI,$18.66 
Feb 14 2026,"SAM'S CLUB 008185 EAU CLAIRE WI CAPRI SUN VARIETY, WHOLE CARROT , ORGANIC STRAWBERRY, HONEYCRISP, APPLE, CAESAR SALAD KIT, MM SAT, PAPER TOWELS, YEAST DINNER ROLL",$185.31 
Feb 13 2026,CULVERS EAU CLAIRE-GOL EAU CLAIRE WI,$31.09 
Feb 12 2026,DISNEY PLUS 8889057888 CA,$13.70 
Feb 11 2026,EAU CLAIRE AREA SCH -G EAU CLAIRE WI,$42.00 
Feb 9 2026,JACOBSONS MARKET EAU CLAIRE WI,$56.69 
Feb 9 2026,JACOBSON'S HARDWARE SO EAU CLAIRE WI,$12.65 
Feb 9 2026,KWIK TRIP #398 EAU CLAIRE WI,$28.06 
Feb 9 2026,KWIK TRIP #472 EAU CLAIRE WI,$31.92 
Feb 8 2026,ALDI 72053 EAU CLAIRE WI,$23.07 
Feb 8 2026,ALDI 72053 EAU CLAIRE WI,$60.93 
Feb 7 2026,TST* CRAVE FOOD & DRIN WOODBURY MN,$87.40 
Feb 7 2026,WALMART.COM 800-966-6546 BENTONVILLE AR Walmart.Com Purchase,$40.79 
Feb 7 2026,WALMART.COM 800-966-6546 BENTONVILLE AR Walmart.Com Purchase,$20.90 
Feb 6 2026,KWIK TRIP #472 EAU CLAIRE WI,$19.40 
Feb 6 2026,KWIK TRIP #472 EAU CLAIRE WI,$47.62 
Feb 5 2026,PANERA BREAD #606376 O EAU CLAIRE WI,$42.12 
Feb 4 2026,TARGET.COM BROOKLYN PARKMN,$25.25 
Feb 4 2026,TARGET.COM BROOKLYN PARKMN,$14.27 
Feb 4 2026,TARGET.COM BROOKLYN PARKMN,$66.04 
Feb 4 2026,CHEWY.COM 7863207111 FL,$28.33 
Feb 4 2026,CHEWY.COM 7863207111 FL,$76.34 
Feb 1 2026,ALDI 72053 EAU CLAIRE WI,$187.88 
Jan 31 2026,WALMART.COM 800-966-6546 BENTONVILLE AR Walmart.Com Purchase,$68.37 
Jan 30 2026,KWIK TRIP #633 EAU CLAIRE WI,$35.25 
Jan 28 2026,EAU CLAIRE AREA SCHOOL EAU CLAIRE WI,$50.00 
Jan 27 2026,SPECTRUM MOBILE 855-707-7328 MO,$20.27 
Jan 27 2026,PAYMENT,"($1,250.00)"
Jan 26 2026,JOSTENS INC. OWATONNA MN,$24.99 
Jan 26 2026,FESTIVAL FOODS EAU CLAIRE WI,$146.17 
Jan 25 2026,TST*THE PLUS EAU CLAIRE WI,$24.88 
Jan 24 2026,ALDI 72053 EAU CLAIRE WI,$30.45 
Jan 24 2026,CAST IRON PIZZA EAU CLAIRE WI,$42.89 
Jan 24 2026,DUNKIN #356640 MENOMONIE WI,$7.99 
Jan 22 2026,SPECTRUM 855-707-7328 MO,$55.00 
Jan 22 2026,CULVERS EAU CLAIRE-BRA EAU CLAIRE WI,$15.59 
Jan 22 2026,CULVERS EAU CLAIRE-BRA EAU CLAIRE WI,$23.29 
Jan 20 2026,YMCA EAU CLAIRE NILES MI,$25.00 
Jan 20 2026,AAA INSURANCE ECOM DEARBORN MI,$447.25 
Jan 20 2026,PAYMENT,($447.25)
Jan 19 2026,TARGET 00017749 EAU CLAIRE WI,$101.96 
Jan 19 2026,KWIK TRIP #352 CHIPPEWA FALLWI,$28.77 
Jan 18 2026,ALTOONA FAMILY RESTAUR ALTOONA WI,$97.00 
Jan 18 2026,KWIK TRIP #1162 EAU CLAIRE WI,$39.86 
Jan 18 2026,"SAM'S CLUB 008185 EAU CLAIRE WI ROTISSERIE CHICKEN, CUCUMBERS, SEEDLESS, MED CHEDDAR CHEESE , PEPPER JACK CHEESE, AVOCADO - 5CT , FRENCH BREAD, OW BEEF STICKS",$126.80 
Jan 15 2026,PAYMENT,($250.00)
Jan 14 2026,KWIK TRIP #633 EAU CLAIRE WI,$29.74 
Jan 14 2026,WALMART.COM 800-966-6546 BENTONVILLE AR Walmart.Com Purchase,$90.35 
Jan 12 2026,DISNEY PLUS 8889057888 CA,$13.70 
Jan 12 2026,WALMART.COM 800-966-6546 BENTONVILLE AR Walmart.Com Purchase,$139.88 
Jan 12 2026,PAYMENT,($400.00)
Jan 12 2026,PAYMENT,($45.00)
Jan 10 2026,KRIST OIL 85 LADYSMITH WI,$19.21 
Jan 7 2026,FESTIVAL FOODS EAU CLAIRE WI,$54.21 
Jan 7 2026,EAU CLAIRE AREA SCHOOL EAU CLAIRE WI,$50.00 
Jan 7 2026,TARGET.COM BROOKLYN PARKMN,$9.38 
Jan 7 2026,KWIK TRIP #472 EAU CLAIRE WI,$18.94 
Jan 6 2026,FESTIVAL FOODS EAU CLAIRE WI,$33.40 
Jan 6 2026,BUFFALO WILD WNGS 0094 EAU CLAIRE WI,$53.40 
Jan 6 2026,TARGET.COM * 800-591-3869 MN,$52.53 
Jan 6 2026,STORE EAU CLAIRE WI,$15.28 
Jan 6 2026,KWIK TRIP #352 CHIPPEWA FALLWI,$10.52 
Jan 6 2026,KWIK TRIP #352 CHIPPEWA FALLWI,$6.38 
Jan 6 2026,KWIK TRIP #455 LADYSMITH WI,$14.39 
Jan 3 2026,PY *FOSTERS FIRESIDE OSSEO WI,$52.64 
Jan 3 2026,CARFAX REP 0629462038 FR,$44.99 
Jan 3 2026,KWIK TRIP #633 EAU CLAIRE WI,$41.81 
Jan 3 2026,WALMART.COM 800-966-6546 BENTONVILLE AR Walmart.Com Purchase,$107.61 
Jan 2 2026,SQ *MGM MOTORS LLC SARASOTA FL,$517.50 
Jan 2 2026,9725 GREAT CLIPS AT SO EAU CLAIRE WI,$32.00 
Jan 2 2026,DAIRY QUEEN #43616 EAU CLAIRE WI,$9.00 
Jan 2 2026,CULVERS EAU CLAIRE-GOL EAU CLAIRE WI,$34.04 
Jan 2 2026,PAYMENT,($520.00)
Jan 1 2026,CHIPOTLE MEX GR ONLINE NEWPORT BEACHCA,$11.87 
Dec 31 2025,AAA INSURANCE ECOM DEARBORN MI,$365.02 
Dec 31 2025,STORE EAU CLAIRE WI,$32.66 
Dec 30 2025,SPECTRUM MOBILE 855-707-7328 MO,$20.27 
Dec 30 2025,KWIK TRIP #459 EAU CLAIRE WI,$29.61 
Dec 29 2025,HAMPTON INN MINNEAPOLI MINNEAPOLIS MN,$32.98 
Dec 29 2025,TST* CRAVE FOOD & DRIN MINNEAPOLIS MN,$134.34 
Dec 29 2025,PRICELN*HAMPTON INN BY 8007742354 CT,$122.98 
Dec 28 2025,KWIK TRIP #633 EAU CLAIRE WI,$18.95 
Dec 27 2025,KWIK TRIP #653 PORTAGE WI,$28.55 
Dec 27 2025,CENEX-MILLSTON KWIK ST MILLSTON WI,$14.90 
Dec 25 2025,KWIK TRIP #472 EAU CLAIRE WI,$18.16 
Dec 24 2025,JACOBSONS MARKET EAU CLAIRE WI,$17.67 
Dec 24 2025,SQ *HMONGSTOP EAU CLAIRE WI,$20.69 
Dec 24 2025,SP BARGAIN CITY CHIPPEWA FALLWI,$10.50 
Dec 24 2025,KWIK TRIP #633 EAU CLAIRE WI,$7.18 
Dec 23 2025,JACOBSONS MARKET EAU CLAIRE WI,$48.96 
Dec 23 2025,SQ *HMONGSTOP EAU CLAIRE WI,$41.04 
Dec 23 2025,KWIK TRIP #1162 EAU CLAIRE WI,$8.22 
Dec 22 2025,JACOBSONS MARKET EAU CLAIRE WI,$20.92 
Dec 22 2025,SPECTRUM 855-707-7328 MO,$94.99 
Dec 22 2025,SQ *HMONGSTOP EAU CLAIRE WI,$26.88 
Dec 22 2025,FESTIVAL FOODS EAU CLAIRE WI,$15.75 
Dec 22 2025,FESTIVAL FOODS EAU CLAIRE WI,$18.97 
Dec 22 2025,EAU CLAIRE AREA SCHOOL EAU CLAIRE WI,$20.00 
Dec 22 2025,TARGET.COM BROOKLYN PARKMN,$34.06 
